Date,Open,High,Low,Close,Adj Close,Volume
1970-08-03,12.039914,12.039914,11.860660,11.914436,2.896438,755212
1970-08-04,11.914436,11.974187,11.806883,11.962237,2.908060,843076
1970-08-05,11.962237,11.986138,11.914436,11.938337,2.902249,351456
1970-08-06,11.938337,11.938337,11.830784,11.878585,2.887721,437228
1970-08-07,11.878585,11.902486,11.711281,11.735182,2.852860,755212
1970-08-10,11.735182,11.735182,11.400574,11.496176,2.794759,1198716
1970-08-11,11.460325,11.460325,11.293021,11.388623,2.768612,776132
1970-08-12,11.269120,11.269120,11.018164,11.024140,2.680005,1286580
1970-08-13,10.994264,10.994264,10.456501,10.659656,2.591395,3395316
1970-08-14,10.755258,10.988289,10.755258,10.988289,2.671289,1156876
1970-08-17,10.988289,11.245220,10.874761,11.245220,2.733751,805420
1970-08-18,11.257170,11.484226,11.257170,11.460325,2.786043,1228004
1970-08-19,11.460325,11.603728,11.412524,11.460325,2.786043,730108
1970-08-20,11.460325,11.699331,11.281071,11.699331,2.844144,914204
1970-08-21,11.699331,11.950287,11.651530,11.914436,2.896438,1131772
1970-08-24,12.141491,12.559751,12.141491,12.559751,3.053317,2190324
1970-08-25,12.559751,12.810707,12.428298,12.619503,3.067842,1690336
1970-08-26,12.619503,12.906310,12.571702,12.607553,3.064937,1152692
1970-08-27,12.607553,12.798757,12.464149,12.679254,3.082370,893284
1970-08-28,12.679254,12.978011,12.679254,12.966061,3.152092,956044
1970-08-31,12.882409,12.882409,12.727055,12.727055,3.093990,589944
1970-09-01,12.679254,12.679254,12.476099,12.613528,3.066389,857720
1970-09-02,12.613528,12.619503,12.392447,12.619503,3.067842,859812
1970-09-03,12.703155,12.918260,12.703155,12.894359,3.134659,868180
1970-09-04,12.894359,13.097514,12.870459,13.001912,3.160807,817972
1970-09-08,13.001912,13.145315,12.762906,13.145315,3.195669,979056
1970-09-09,13.145315,13.228967,12.918260,13.049713,3.172430,1020896
1970-09-10,12.942161,12.942161,12.810707,12.822658,3.117231,797052
1970-09-11,12.822658,12.954111,12.822658,12.846558,3.123040,518816
1970-09-14,12.846558,12.930210,12.643403,12.715105,3.091084,834708
1970-09-15,12.715105,12.739006,12.583652,12.733031,3.095440,525092
1970-09-16,12.733031,12.978011,12.721080,12.954111,3.149187,596220
1970-09-17,13.049713,13.240918,13.049713,13.217017,3.213102,807512
1970-09-18,13.252868,13.611377,13.252868,13.396272,3.256678,882824
1970-09-21,13.396272,13.402247,13.085564,13.169216,3.201478,935124
1970-09-22,13.157266,13.157266,12.978011,13.061663,3.175334,688268
1970-09-23,13.085564,13.432122,13.085564,13.432122,3.265393,1297040
1970-09-24,13.479924,13.790631,13.479924,13.790631,3.352550,1543896
1970-09-25,13.790631,13.922084,13.718929,13.790631,3.352550,884916
